Timestamp (us),Percentage (%),Power (dBm)
9145296389,94.000000,-53.000000
9146285717,96.000000,-52.000000
9147288993,90.000000,-55.000000
9148290696,92.000000,-54.000000
9149293722,90.000000,-55.000000
9150290929,94.000000,-53.000000
9151291617,96.000000,-52.000000
