Timestamp (us),W Element,X Element,Y Element,Z Element
9467721987,0.851286,-0.131523,-0.081566,-0.501601
9467724490,0.851288,-0.131503,-0.081584,-0.501600
9467726993,0.851290,-0.131483,-0.081602,-0.501599
9467729496,0.851292,-0.131466,-0.081617,-0.501598
9467731998,0.851293,-0.131450,-0.081631,-0.501598
9467734501,0.851296,-0.131434,-0.081646,-0.501595
9467737003,0.851299,-0.131419,-0.081659,-0.501591
9467739506,0.851302,-0.131406,-0.081672,-0.501587
9467742009,0.851306,-0.131394,-0.081682,-0.501582
9467744512,0.851310,-0.131385,-0.081691,-0.501577
9467747014,0.851313,-0.131374,-0.081699,-0.501572
9467749517,0.851316,-0.131364,-0.081705,-0.501569
9467752032,0.851319,-0.131356,-0.081710,-0.501566
9467754521,0.851320,-0.131348,-0.081713,-0.501565
9467757023,0.851322,-0.131341,-0.081715,-0.501565
9467759526,0.851323,-0.131335,-0.081719,-0.501564
9467762029,0.851324,-0.131330,-0.081724,-0.501562
9467764531,0.851326,-0.131323,-0.081730,-0.501560
9467767034,0.851327,-0.131318,-0.081735,-0.501557
9467769537,0.851330,-0.131315,-0.081738,-0.501554
9467772039,0.851332,-0.131315,-0.081740,-0.501549
9467774542,0.851335,-0.131313,-0.081743,-0.501544
9467777045,0.851338,-0.131311,-0.081745,-0.501539
9467779548,0.851341,-0.131307,-0.081744,-0.501536
9467782050,0.851343,-0.131302,-0.081743,-0.501534
9467784553,0.851344,-0.131297,-0.081741,-0.501534
9467787056,0.851344,-0.131293,-0.081740,-0.501535
9467789558,0.851344,-0.131289,-0.081739,-0.501535
9467792061,0.851345,-0.131287,-0.081737,-0.501535
9467794563,0.851347,-0.131282,-0.081733,-0.501534
9467797066,0.851348,-0.131277,-0.081727,-0.501534
9467799569,0.851349,-0.131271,-0.081721,-0.501536
9467802071,0.851349,-0.131266,-0.081715,-0.501538
9467804574,0.851350,-0.131261,-0.081708,-0.501539
9467807077,0.851351,-0.131257,-0.081701,-0.501539
9467809579,0.851351,-0.131255,-0.081697,-0.501539
9467812082,0.851352,-0.131254,-0.081693,-0.501539
9467814585,0.851352,-0.131255,-0.081688,-0.501540
9467817088,0.851353,-0.131254,-0.081681,-0.501540
9467819590,0.851353,-0.131256,-0.081672,-0.501541
9467822093,0.851353,-0.131259,-0.081662,-0.501541
9467824596,0.851353,-0.131265,-0.081653,-0.501542
9467827098,0.851351,-0.131274,-0.081645,-0.501544
9467829601,0.851349,-0.131285,-0.081638,-0.501545
9467832104,0.851347,-0.131294,-0.081630,-0.501547
9467834606,0.851346,-0.131304,-0.081624,-0.501547
9467837109,0.851348,-0.131315,-0.081617,-0.501542
9467839611,0.851350,-0.131328,-0.081609,-0.501536
9467842114,0.851351,-0.131340,-0.081600,-0.501533
9467844617,0.851351,-0.131353,-0.081593,-0.501531
9467847120,0.851350,-0.131365,-0.081585,-0.501530
9467849622,0.851350,-0.131375,-0.081578,-0.501529
9467852125,0.851350,-0.131383,-0.081572,-0.501528
9467854628,0.851349,-0.131390,-0.081566,-0.501529
9467857130,0.851348,-0.131396,-0.081564,-0.501531
9467859633,0.851346,-0.131403,-0.081561,-0.501532
9467862136,0.851344,-0.131412,-0.081559,-0.501533
9467864638,0.851344,-0.131419,-0.081555,-0.501532
9467867141,0.851343,-0.131424,-0.081554,-0.501533
9467869643,0.851342,-0.131430,-0.081554,-0.501532
9467872146,0.851341,-0.131434,-0.081556,-0.501532
9467874649,0.851340,-0.131440,-0.081558,-0.501532
9467877151,0.851338,-0.131442,-0.081556,-0.501536
9467879654,0.851335,-0.131444,-0.081554,-0.501541
9467882157,0.851330,-0.131446,-0.081554,-0.501549
9467884660,0.851326,-0.131450,-0.081555,-0.501554
9467887162,0.851319,-0.131454,-0.081560,-0.501564
9467889665,0.851314,-0.131457,-0.081563,-0.501572
9467892168,0.851309,-0.131459,-0.081563,-0.501581
9467894670,0.851302,-0.131460,-0.081566,-0.501590
9467897173,0.851296,-0.131460,-0.081567,-0.501600
9467899676,0.851291,-0.131460,-0.081571,-0.501609
9467902178,0.851286,-0.131460,-0.081572,-0.501617
9467904681,0.851280,-0.131459,-0.081573,-0.501627
9467907185,0.851274,-0.131459,-0.081575,-0.501637
9467909687,0.851268,-0.131458,-0.081578,-0.501647
9467912190,0.851263,-0.131454,-0.081580,-0.501657
9467914693,0.851257,-0.131449,-0.081583,-0.501668
9467917196,0.851251,-0.131447,-0.081585,-0.501678
9467919698,0.851245,-0.131444,-0.081589,-0.501688
